referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
39,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/choro
40,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/roda-de-capoeira
41,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/oficio-dos-mestres-de-capoeira
42,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/oficio-saberes-e-praticas-das-parteiras-tradicionais-do-brasil
43,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/oficio-de-raizeiras-e-raizeiros-do-cerrado
44,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/circo-de-tradicao-familiar-do-brasil
45,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit
45,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit
45,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit
45,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit
46,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/964
46,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/964
46,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/964
46,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/964
47,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/963
47,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/963
47,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/963
47,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/963
48,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/959
48,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/959
48,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/959
48,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/959
49,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/958
49,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/958
